Estacao;Data;Hora;Precipitacao;Temp Comp Media;
83914;24/07/2017;0000;;18.24;
83914;24/07/2017;1200;0;;
83914;25/07/2017;0000;;19.52;
83914;25/07/2017;1200;0;;
83914;26/07/2017;0000;;17.38;
83914;26/07/2017;1200;0;;
83914;27/07/2017;0000;;16.42;
83914;27/07/2017;1200;0;;
83914;28/07/2017;0000;;16.1;
83914;28/07/2017;1200;0;;
83914;29/07/2017;0000;;16.04;
83914;29/07/2017;1200;0;;
83914;30/07/2017;0000;;16.56;
83914;30/07/2017;1200;0;;
83914;31/07/2017;0000;;17.62;
83914;31/07/2017;1200;0;;
83914;01/08/2017;0000;;17.8;
83914;01/08/2017;1200;0;;
83914;02/08/2017;0000;;14.58;
83914;02/08/2017;1200;0;;
83914;03/08/2017;0000;;12.48;
83914;03/08/2017;1200;33.5;;
83914;04/08/2017;0000;;10.74;
83914;04/08/2017;1200;0.2;;
83914;05/08/2017;0000;;11.42;
83914;05/08/2017;1200;0;;
83914;06/08/2017;0000;;12.5;
83914;06/08/2017;1200;0;;
83914;07/08/2017;0000;;14.74;
83914;07/08/2017;1200;0;;
83914;08/08/2017;0000;;15.5;
83914;08/08/2017;1200;0;;
83914;09/08/2017;0000;;11.24;
83914;09/08/2017;1200;1.7;;
83914;10/08/2017;0000;;15.84;
83914;10/08/2017;1200;0;;
83914;11/08/2017;0000;;17.02;
83914;11/08/2017;1200;10.4;;
83914;12/08/2017;0000;;17.9;
83914;12/08/2017;1200;0;;
83914;13/08/2017;0000;;13.96;
83914;13/08/2017;1200;81.8;;
83914;14/08/2017;0000;;11.6;
83914;14/08/2017;1200;16.2;;
83914;15/08/2017;0000;;14.2;
83914;15/08/2017;1200;0;;
83914;16/08/2017;0000;;14.24;
83914;16/08/2017;1200;0;;
83914;17/08/2017;0000;;15.22;
83914;17/08/2017;1200;0;;
83914;18/08/2017;0000;;15.06;
83914;18/08/2017;1200;0;;
83914;19/08/2017;0000;;16.96;
83914;19/08/2017;1200;0.1;;
83914;20/08/2017;0000;;10.58;
83914;20/08/2017;1200;17.8;;
83914;21/08/2017;0000;;7.62;
83914;21/08/2017;1200;0;;
83914;22/08/2017;0000;;11.5;
83914;22/08/2017;1200;0;;
83914;23/08/2017;0000;;18.18;
83914;23/08/2017;1200;0;;
83914;24/08/2017;0000;;18.98;
83914;24/08/2017;1200;0;;
83914;25/08/2017;0000;;18.18;
83914;25/08/2017;1200;0;;
83914;26/08/2017;0000;;18.9;
83914;26/08/2017;1200;0;;
83914;27/08/2017;0000;;15.76;
83914;27/08/2017;1200;0;;
83914;28/08/2017;0000;;19.38;
83914;28/08/2017;1200;5.4;;
83914;29/08/2017;0000;;22.16;
83914;29/08/2017;1200;0;;
83914;30/08/2017;0000;;15.66;
83914;30/08/2017;1200;0;;
83914;31/08/2017;0000;;15.88;
83914;31/08/2017;1200;0;;
83914;01/09/2017;0000;;18.1;
83914;01/09/2017;1200;0;;
83914;02/09/2017;0000;;19.1;
83914;02/09/2017;1200;0;;
83914;03/09/2017;0000;;19.78;
83914;03/09/2017;1200;0;;
83914;04/09/2017;0000;;22.58;
83914;04/09/2017;1200;0;;
83914;05/09/2017;0000;;18.18;
83914;05/09/2017;1200;0;;
83914;06/09/2017;0000;;20.28;
83914;06/09/2017;1200;0;;
83914;07/09/2017;0000;;21.22;
83914;07/09/2017;1200;0;;
83914;08/09/2017;0000;;21.5;
83914;08/09/2017;1200;0;;
83914;09/09/2017;0000;;22.76;
83914;09/09/2017;1200;0;;
83914;10/09/2017;0000;;23.56;
83914;10/09/2017;1200;0;;
83914;11/09/2017;0000;;17.9;
83914;11/09/2017;1200;0.6;;
83914;12/09/2017;0000;;17.64;
83914;12/09/2017;1200;2.7;;
83914;13/09/2017;0000;;22.08;
83914;13/09/2017;1200;0;;
83914;14/09/2017;0000;;21.3;
83914;14/09/2017;1200;0;;
83914;15/09/2017;0000;;14.34;
83914;15/09/2017;1200;22.2;;
83914;16/09/2017;0000;;14.34;
83914;16/09/2017;1200;29.4;;
83914;17/09/2017;0000;;14.9;
83914;17/09/2017;1200;2.6;;
83914;18/09/2017;0000;;18.16;
83914;18/09/2017;1200;0;;
83914;19/09/2017;0000;;21.8;
